Business Area,Report Name,Report Description,Existing Label,Dictionary Label,ICM Data Field Path,Label Source,Label Match Rating,Follow Up Required
FASB AR & Debt,MIS Debt Select-Extract Job Selection Criteria (MI20V-01),"FASB report with manual criteria for report data inclusion. Dollar range, Deby type. Operhlp to run the HMISJPRJ final approval report with instructions on which debt criteria to be included",run request date,Run Request Date,No,MIS,Low,FASB
FASB AR & Debt,MIS Debt Select-Extract Job Selection Criteria (MI20V-01),"FASB report with manual criteria for report data inclusion. Dollar range, Deby type. Operhlp to run the HMISJPRJ final approval report with instructions on which debt criteria to be included",run request version,Run Request Version,No,MIS,Low,FASB
FASB AR & Debt,MIS Debt Select-Extract Job Selection Criteria (MI20V-01),"FASB report with manual criteria for report data inclusion. Dollar range, Deby type. Operhlp to run the HMISJPRJ final approval report with instructions on which debt criteria to be included","age of debt (from, to)","Age of Debt (From, To)",No,MIS,High,FASB
FASB AR & Debt,MIS Debt Select-Extract Job Selection Criteria (MI20V-01),"FASB report with manual criteria for report data inclusion. Dollar range, Deby type. Operhlp to run the HMISJPRJ final approval report with instructions on which debt criteria to be included","dollar range (lower, upper)","Dollar Range (Lower, Uppoer)",No,MIS,High,FASB
FASB AR & Debt,MIS Debt Select-Extract Job Selection Criteria (MI20V-01),"FASB report with manual criteria for report data inclusion. Dollar range, Deby type. Operhlp to run the HMISJPRJ final approval report with instructions on which debt criteria to be included",participant date of bith (range),Participant Date of Birth,No,MIS,High,FASB
FASB AR & Debt,MIS Debt Select-Extract Job Selection Criteria (MI20V-01),"FASB report with manual criteria for report data inclusion. Dollar range, Deby type. Operhlp to run the HMISJPRJ final approval report with instructions on which debt criteria to be included",debt type action codes (1-8),Debty Type Action Codes (1-8),No,MIS,High,FASB
FASB AR & Debt,MIS Debt Select-Extract Job Selection Criteria (MI20V-01),"FASB report with manual criteria for report data inclusion. Dollar range, Deby type. Operhlp to run the HMISJPRJ final approval report with instructions on which debt criteria to be included",debt type action codes (9-16),debt type action codes (9-16),No,MIS,High,FASB
FASB AR & Debt,MIS Debt Select-Extract Job Selection Criteria (MI20V-01),"FASB report with manual criteria for report data inclusion. Dollar range, Deby type. Operhlp to run the HMISJPRJ final approval report with instructions on which debt criteria to be included",debt type action codes (17-24),debt type action codes (17-24),No,MIS,High,FASB
FASB AR & Debt,MIS Debt Select-Extract Job Selection Criteria (MI20V-01),"FASB report with manual criteria for report data inclusion. Dollar range, Deby type. Operhlp to run the HMISJPRJ final approval report with instructions on which debt criteria to be included",debt type action codes (25-32),debt type action codes (25-32),No,MIS,High,FASB
FASB AR & Debt,MIS Debt Select-Extract Job Selection Criteria (MI20V-01),"FASB report with manual criteria for report data inclusion. Dollar range, Deby type. Operhlp to run the HMISJPRJ final approval report with instructions on which debt criteria to be included",verified data only,Verified Data Only,No,MIS,Medium,FASB
FASB AR & Debt,MIS Debt Select-Extract Job Selection Criteria (MI20V-01),"FASB report with manual criteria for report data inclusion. Dollar range, Deby type. Operhlp to run the HMISJPRJ final approval report with instructions on which debt criteria to be included",job used repayment table as input,job used repayment table as input,No,MIS,High,FASB
FASB AR & Debt,MIS Debt Select-Extract Job Selection Criteria (MI20V-01),"FASB report with manual criteria for report data inclusion. Dollar range, Deby type. Operhlp to run the HMISJPRJ final approval report with instructions on which debt criteria to be included",Maximum accounts extracted limit,Maximum accounts extracted limit,No,MIS,High,FASB
FASB AR & Debt,MIS Debt Select-Extract Job Selection Criteria (MI20V-01),"FASB report with manual criteria for report data inclusion. Dollar range, Deby type. Operhlp to run the HMISJPRJ final approval report with instructions on which debt criteria to be included",Reporting only option Y/N,Reporting only option Y/N,No,MIS,Medium,FASB
FASB AR & Debt,MIS Debt Select-Extract Outstanding Balances By Type (MI26K-01),"Outstanding debt balance, list of case CLOSED cases
 Operhlp to run the HMISJPRJ final approval report with instructions on which debt criteria to be included
Report has no columns/data is combined into rows: Legacy File number Last Name, First Name, Date of Birth, SIN, case closure date, address, city, postal code, debt type, amount",No Actual report label,Legacy ID,Case/Case View Screen,ICM,Low,No
FASB AR & Debt,MIS Debt Select-Extract Outstanding Balances By Type (MI26K-01),"Outstanding debt balance, list of case CLOSED cases
 Operhlp to run the HMISJPRJ final approval report with instructions on which debt criteria to be included
Report has no columns/data is combined into rows: Legacy File number Last Name, First Name, Date of Birth, SIN, case closure date, address, city, postal code, debt type, amount",name,Name,No,MIS,Low,No
FASB AR & Debt,MIS Debt Select-Extract Outstanding Balances By Type (MI26K-01),"Outstanding debt balance, list of case CLOSED cases
 Operhlp to run the HMISJPRJ final approval report with instructions on which debt criteria to be included
Report has no columns/data is combined into rows: Legacy File number Last Name, First Name, Date of Birth, SIN, case closure date, address, city, postal code, debt type, amount",address,Address,No,MIS,Medium,No
FASB AR & Debt,MIS Debt Select-Extract Outstanding Balances By Type (MI26K-01),"Outstanding debt balance, list of case CLOSED cases
 Operhlp to run the HMISJPRJ final approval report with instructions on which debt criteria to be included
Report has no columns/data is combined into rows: Legacy File number Last Name, First Name, Date of Birth, SIN, case closure date, address, city, postal code, debt type, amount",case close date,Case Close Date,No,MIS,Medium,No
FASB AR & Debt,MIS Debt Select-Extract Outstanding Balances By Type (MI26K-01),"Outstanding debt balance, list of case CLOSED cases
 Operhlp to run the HMISJPRJ final approval report with instructions on which debt criteria to be included
Report has no columns/data is combined into rows: Legacy File number Last Name, First Name, Date of Birth, SIN, case closure date, address, city, postal code, debt type, amount",grand total o/s,Total Outsanding,No,MIS,High,FASB
FASB AR & Debt,MIS Debt Select-Extract Outstanding Balances By Type (MI26K-01),"Outstanding debt balance, list of case CLOSED cases
 Operhlp to run the HMISJPRJ final approval report with instructions on which debt criteria to be included
Report has no columns/data is combined into rows: Legacy File number Last Name, First Name, Date of Birth, SIN, case closure date, address, city, postal code, debt type, amount",RA=X,RA=X,No,MIS,High,FASB
FASB AR & Debt,MIS Debt Select-Extract Outstanding Balances By Type (MI26K-01),"Outstanding debt balance, list of case CLOSED cases
 Operhlp to run the HMISJPRJ final approval report with instructions on which debt criteria to be included
Report has no columns/data is combined into rows: Legacy File number Last Name, First Name, Date of Birth, SIN, case closure date, address, city, postal code, debt type, amount",STAT=X,STAT=X,No,MIS,High,FASB
FASB AR & Debt,Total Debt Statistics for Province (MI59D-03),Total summarized by Debt Amount and Debt Code,debt reas,Debt Reason,No,MIS,Medium,FASB
FASB AR & Debt,Total Debt Statistics for Province (MI59D-03),Total summarized by Debt Amount and Debt Code,new debt count,New Debt Count,No,MIS,High,FASB
FASB AR & Debt,Total Debt Statistics for Province (MI59D-03),Total summarized by Debt Amount and Debt Code,new debt amount,New Debt Amount,No,MIS,High,FASB
FASB AR & Debt,Total Debt Statistics for Province (MI59D-03),Total summarized by Debt Amount and Debt Code,old debt open cnt,Old Debt Open Count,No,MIS,High,FASB
FASB AR & Debt,Total Debt Statistics for Province (MI59D-03),Total summarized by Debt Amount and Debt Code,old debt open amt,Old Debt Open Amt,No,MIS,High,FASB
FASB AR & Debt,Total Debt Statistics for Province (MI59D-03),Total summarized by Debt Amount and Debt Code,old debt clds cnt,Old Debt Closed Count,No,MIS,High,FASB
FASB AR & Debt,Total Debt Statistics for Province (MI59D-03),Total summarized by Debt Amount and Debt Code,old debt clsd amt,Old Debt Closed Amount,No,MIS,High,FASB
FASB AR & Debt,Total Debt Statistics for Province (MI59D-03),Total summarized by Debt Amount and Debt Code,total count,Total Count,No,MIS,High,FASB
FASB AR & Debt,Total Debt Statistics for Province (MI59D-03),Total summarized by Debt Amount and Debt Code,total debt amount,Total Debt Amount,No,MIS,High,FASB
FASB AR & Debt,Total Debt Statistics for Province (MI59D-03),Total summarized by Debt Amount and Debt Code,Total,Total,No,Report,Medium,FASB
FASB AR & Debt,GAIN AR General Ledger Journal Voucher Summary (MI07K-01),how much received for Recoveries (all $20 repay collected are populated in prior year Stob) FASB Manually transfer Debt,Manaully move 20% to current year Wish list for automation,Require successor system to know currnt and prior year debt and which STOB it is connected to,,MIS,High,FASB
FASB AR & Debt,GAIN AR General Ledger Journal Voucher Summary (MI07K-01),how much received for Recoveries (all $20 repay collected are populated in prior year Stob) FASB Manually transfer Debt,account decription,Account Description,No,MIS,High,FASB
FASB AR & Debt,GAIN AR General Ledger Journal Voucher Summary (MI07K-01),how much received for Recoveries (all $20 repay collected are populated in prior year Stob) FASB Manually transfer Debt,debit amount,Debit Amount,No,MIS,High,FASB
FASB AR & Debt,GAIN AR General Ledger Journal Voucher Summary (MI07K-01),how much received for Recoveries (all $20 repay collected are populated in prior year Stob) FASB Manually transfer Debt,credit amount,Credit Amount,No,MIS,High,FASB
FASB AR & Debt,GAIN AR General Ledger Journal Voucher Summary (MI07K-01),how much received for Recoveries (all $20 repay collected are populated in prior year Stob) FASB Manually transfer Debt,sub total,Subtotal,No,Report,Medium,FASB
FASB Banking,BCCCU - EXRD (AMP),"Automated Transfer System Detailed Listing
Daily banking- what has been processed and returend with Central 1 the previous day through
ORS - Online Return System -
For On Demand Payment - Not Monthly Cheques
BCCCU reports come directly from Central 1 when the daily files are downloaded so we have no insight into the logic. There are similar reports for OD cheques that are also sent to R2W.
HMISJPJK carries out bank reconciliation processing and uses the DREC file to match cheque data from Central 1 to the MIS payment history DB2 tables and updates cashed cheque data.
Mismatched records are reported in report MI92T-01. which is also produced by job JPJK. 
A discovery session with FASB and possibly Treasury would be required to provide more details on the logic",Member Name,Member Name,No,MIS,High,FASB
FASB Banking,BCCCU - EXRD (AMP),"Automated Transfer System Detailed Listing
Daily banking- what has been processed and returend with Central 1 the previous day through
ORS - Online Return System -
For On Demand Payment - Not Monthly Cheques
BCCCU reports come directly from Central 1 when the daily files are downloaded so we have no insight into the logic. There are similar reports for OD cheques that are also sent to R2W.
HMISJPJK carries out bank reconciliation processing and uses the DREC file to match cheque data from Central 1 to the MIS payment history DB2 tables and updates cashed cheque data.
Mismatched records are reported in report MI92T-01. which is also produced by job JPJK. 
A discovery session with FASB and possibly Treasury would be required to provide more details on the logic",Due Date,Due Date,No,MIS,High,FASB
FASB Banking,BCCCU - EXRD (AMP),"Automated Transfer System Detailed Listing
Daily banking- what has been processed and returend with Central 1 the previous day through
ORS - Online Return System -
For On Demand Payment - Not Monthly Cheques
BCCCU reports come directly from Central 1 when the daily files are downloaded so we have no insight into the logic. There are similar reports for OD cheques that are also sent to R2W.
HMISJPJK carries out bank reconciliation processing and uses the DREC file to match cheque data from Central 1 to the MIS payment history DB2 tables and updates cashed cheque data.
Mismatched records are reported in report MI92T-01. which is also produced by job JPJK. 
A discovery session with FASB and possibly Treasury would be required to provide more details on the logic",Account Number (our) REFNO,Account Number,No,MIS,High,FASB
FASB Banking,BCCCU - EXRD (AMP),"Automated Transfer System Detailed Listing
Daily banking- what has been processed and returend with Central 1 the previous day through
ORS - Online Return System -
For On Demand Payment - Not Monthly Cheques
BCCCU reports come directly from Central 1 when the daily files are downloaded so we have no insight into the logic. There are similar reports for OD cheques that are also sent to R2W.
HMISJPJK carries out bank reconciliation processing and uses the DREC file to match cheque data from Central 1 to the MIS payment history DB2 tables and updates cashed cheque data.
Mismatched records are reported in report MI92T-01. which is also produced by job JPJK. 
A discovery session with FASB and possibly Treasury would be required to provide more details on the logic",Amount,Amount,No,MIS,High,FASB
FASB Banking,BCCCU - EXRD (AMP),"Automated Transfer System Detailed Listing
Daily banking- what has been processed and returend with Central 1 the previous day through
ORS - Online Return System -
For On Demand Payment - Not Monthly Cheques
BCCCU reports come directly from Central 1 when the daily files are downloaded so we have no insight into the logic. There are similar reports for OD cheques that are also sent to R2W.
HMISJPJK carries out bank reconciliation processing and uses the DREC file to match cheque data from Central 1 to the MIS payment history DB2 tables and updates cashed cheque data.
Mismatched records are reported in report MI92T-01. which is also produced by job JPJK. 
A discovery session with FASB and possibly Treasury would be required to provide more details on the logic",Received Date,Received Date,No,MIS,High,FASB
FASB Banking,BCCCU - EXRD (AMP),"Automated Transfer System Detailed Listing
Daily banking- what has been processed and returend with Central 1 the previous day through
ORS - Online Return System -
For On Demand Payment - Not Monthly Cheques
BCCCU reports come directly from Central 1 when the daily files are downloaded so we have no insight into the logic. There are similar reports for OD cheques that are also sent to R2W.
HMISJPJK carries out bank reconciliation processing and uses the DREC file to match cheque data from Central 1 to the MIS payment history DB2 tables and updates cashed cheque data.
Mismatched records are reported in report MI92T-01. which is also produced by job JPJK. 
A discovery session with FASB and possibly Treasury would be required to provide more details on the logic",Posting Date,Posting Date,No,MIS,High,FASB
FASB Banking,BCCCU - EXRD (AMP),"Automated Transfer System Detailed Listing
Daily banking- what has been processed and returend with Central 1 the previous day through
ORS - Online Return System -
For On Demand Payment - Not Monthly Cheques
BCCCU reports come directly from Central 1 when the daily files are downloaded so we have no insight into the logic. There are similar reports for OD cheques that are also sent to R2W.
HMISJPJK carries out bank reconciliation processing and uses the DREC file to match cheque data from Central 1 to the MIS payment history DB2 tables and updates cashed cheque data.
Mismatched records are reported in report MI92T-01. which is also produced by job JPJK. 
A discovery session with FASB and possibly Treasury would be required to provide more details on the logic",Return BK Routing,Return BK Routing,No,MIS,High,FASB
FASB Banking,BCCCU - EXRD (AMP),"Automated Transfer System Detailed Listing
Daily banking- what has been processed and returend with Central 1 the previous day through
ORS - Online Return System -
For On Demand Payment - Not Monthly Cheques
BCCCU reports come directly from Central 1 when the daily files are downloaded so we have no insight into the logic. There are similar reports for OD cheques that are also sent to R2W.
HMISJPJK carries out bank reconciliation processing and uses the DREC file to match cheque data from Central 1 to the MIS payment history DB2 tables and updates cashed cheque data.
Mismatched records are reported in report MI92T-01. which is also produced by job JPJK. 
A discovery session with FASB and possibly Treasury would be required to provide more details on the logic",Orig Bank User ID,Original Bank User ID,No,MIS,High,FASB
FASB Banking,BCCCU - EXRD (AMP),"Automated Transfer System Detailed Listing
Daily banking- what has been processed and returend with Central 1 the previous day through
ORS - Online Return System -
For On Demand Payment - Not Monthly Cheques
BCCCU reports come directly from Central 1 when the daily files are downloaded so we have no insight into the logic. There are similar reports for OD cheques that are also sent to R2W.
HMISJPJK carries out bank reconciliation processing and uses the DREC file to match cheque data from Central 1 to the MIS payment history DB2 tables and updates cashed cheque data.
Mismatched records are reported in report MI92T-01. which is also produced by job JPJK. 
A discovery session with FASB and possibly Treasury would be required to provide more details on the logic",Return Bank Address,Return Bank Address,No,MIS,High,FASB
FASB Banking,BCCCU - EXRD (AMP),"Automated Transfer System Detailed Listing
Daily banking- what has been processed and returend with Central 1 the previous day through
ORS - Online Return System -
For On Demand Payment - Not Monthly Cheques
BCCCU reports come directly from Central 1 when the daily files are downloaded so we have no insight into the logic. There are similar reports for OD cheques that are also sent to R2W.
HMISJPJK carries out bank reconciliation processing and uses the DREC file to match cheque data from Central 1 to the MIS payment history DB2 tables and updates cashed cheque data.
Mismatched records are reported in report MI92T-01. which is also produced by job JPJK. 
A discovery session with FASB and possibly Treasury would be required to provide more details on the logic",Origninator,Origninator,No,MIS,High,FASB
FASB Banking,BCCCU - EXRD (AMP),"Automated Transfer System Detailed Listing
Daily banking- what has been processed and returend with Central 1 the previous day through
ORS - Online Return System -
For On Demand Payment - Not Monthly Cheques
BCCCU reports come directly from Central 1 when the daily files are downloaded so we have no insight into the logic. There are similar reports for OD cheques that are also sent to R2W.
HMISJPJK carries out bank reconciliation processing and uses the DREC file to match cheque data from Central 1 to the MIS payment history DB2 tables and updates cashed cheque data.
Mismatched records are reported in report MI92T-01. which is also produced by job JPJK. 
A discovery session with FASB and possibly Treasury would be required to provide more details on the logic",Sundry Info,Sundry Info,No,MIS,High,FASB
FASB Banking,BCCCU - EXRD (AMP),"Automated Transfer System Detailed Listing
Daily banking- what has been processed and returend with Central 1 the previous day through
ORS - Online Return System -
For On Demand Payment - Not Monthly Cheques
BCCCU reports come directly from Central 1 when the daily files are downloaded so we have no insight into the logic. There are similar reports for OD cheques that are also sent to R2W.
HMISJPJK carries out bank reconciliation processing and uses the DREC file to match cheque data from Central 1 to the MIS payment history DB2 tables and updates cashed cheque data.
Mismatched records are reported in report MI92T-01. which is also produced by job JPJK. 
A discovery session with FASB and possibly Treasury would be required to provide more details on the logic",Account NO Returns,Account NO Returns,No,MIS,High,FASB
FASB Banking,BCCCU - EXRD (AMP),"Automated Transfer System Detailed Listing
Daily banking- what has been processed and returend with Central 1 the previous day through
ORS - Online Return System -
For On Demand Payment - Not Monthly Cheques
BCCCU reports come directly from Central 1 when the daily files are downloaded so we have no insight into the logic. There are similar reports for OD cheques that are also sent to R2W.
HMISJPJK carries out bank reconciliation processing and uses the DREC file to match cheque data from Central 1 to the MIS payment history DB2 tables and updates cashed cheque data.
Mismatched records are reported in report MI92T-01. which is also produced by job JPJK. 
A discovery session with FASB and possibly Treasury would be required to provide more details on the logic",Item Trace NO,Item Trace NO,No,MIS,High,FASB
FASB Banking,BCCCU - EXRD (AMP),"Automated Transfer System Detailed Listing
Daily banking- what has been processed and returend with Central 1 the previous day through
ORS - Online Return System -
For On Demand Payment - Not Monthly Cheques
BCCCU reports come directly from Central 1 when the daily files are downloaded so we have no insight into the logic. There are similar reports for OD cheques that are also sent to R2W.
HMISJPJK carries out bank reconciliation processing and uses the DREC file to match cheque data from Central 1 to the MIS payment history DB2 tables and updates cashed cheque data.
Mismatched records are reported in report MI92T-01. which is also produced by job JPJK. 
A discovery session with FASB and possibly Treasury would be required to provide more details on the logic",Tran Type,Tran Type,No,MIS,High,FASB
FASB Banking,BCCCU - EXRD (AMP),"Automated Transfer System Detailed Listing
Daily banking- what has been processed and returend with Central 1 the previous day through
ORS - Online Return System -
For On Demand Payment - Not Monthly Cheques
BCCCU reports come directly from Central 1 when the daily files are downloaded so we have no insight into the logic. There are similar reports for OD cheques that are also sent to R2W.
HMISJPJK carries out bank reconciliation processing and uses the DREC file to match cheque data from Central 1 to the MIS payment history DB2 tables and updates cashed cheque data.
Mismatched records are reported in report MI92T-01. which is also produced by job JPJK. 
A discovery session with FASB and possibly Treasury would be required to provide more details on the logic",Cross reference NO,Cross reference NO,No,MIS,High,FASB
FASB Banking,BCCCU - EXRD (AMP),"Automated Transfer System Detailed Listing
Daily banking- what has been processed and returend with Central 1 the previous day through
ORS - Online Return System -
For On Demand Payment - Not Monthly Cheques
BCCCU reports come directly from Central 1 when the daily files are downloaded so we have no insight into the logic. There are similar reports for OD cheques that are also sent to R2W.
HMISJPJK carries out bank reconciliation processing and uses the DREC file to match cheque data from Central 1 to the MIS payment history DB2 tables and updates cashed cheque data.
Mismatched records are reported in report MI92T-01. which is also produced by job JPJK. 
A discovery session with FASB and possibly Treasury would be required to provide more details on the logic",Total No. Debt items,Total No. Debt items,No,Report,High,FASB
FASB Banking,BCCCU - EXRD (AMP),"Automated Transfer System Detailed Listing
Daily banking- what has been processed and returend with Central 1 the previous day through
ORS - Online Return System -
For On Demand Payment - Not Monthly Cheques
BCCCU reports come directly from Central 1 when the daily files are downloaded so we have no insight into the logic. There are similar reports for OD cheques that are also sent to R2W.
HMISJPJK carries out bank reconciliation processing and uses the DREC file to match cheque data from Central 1 to the MIS payment history DB2 tables and updates cashed cheque data.
Mismatched records are reported in report MI92T-01. which is also produced by job JPJK. 
A discovery session with FASB and possibly Treasury would be required to provide more details on the logic",total debt,Total Debt Amount,No,Report,High,FASB
FASB Banking,BCCCU - EXRD (AMP),"Automated Transfer System Detailed Listing
Daily banking- what has been processed and returend with Central 1 the previous day through
ORS - Online Return System -
For On Demand Payment - Not Monthly Cheques
BCCCU reports come directly from Central 1 when the daily files are downloaded so we have no insight into the logic. There are similar reports for OD cheques that are also sent to R2W.
HMISJPJK carries out bank reconciliation processing and uses the DREC file to match cheque data from Central 1 to the MIS payment history DB2 tables and updates cashed cheque data.
Mismatched records are reported in report MI92T-01. which is also produced by job JPJK. 
A discovery session with FASB and possibly Treasury would be required to provide more details on the logic",Total No Credit Items,Total No Credit Items,No,Report,High,FASB
FASB Banking,BCCCU - EXRD (AMP),"Automated Transfer System Detailed Listing
Daily banking- what has been processed and returend with Central 1 the previous day through
ORS - Online Return System -
For On Demand Payment - Not Monthly Cheques
BCCCU reports come directly from Central 1 when the daily files are downloaded so we have no insight into the logic. There are similar reports for OD cheques that are also sent to R2W.
HMISJPJK carries out bank reconciliation processing and uses the DREC file to match cheque data from Central 1 to the MIS payment history DB2 tables and updates cashed cheque data.
Mismatched records are reported in report MI92T-01. which is also produced by job JPJK. 
A discovery session with FASB and possibly Treasury would be required to provide more details on the logic",Total Credits,Total Credits,No,Report,High,FASB
FASB Banking,BCCCU - EXRD (AMP),"Automated Transfer System Detailed Listing
Daily banking- what has been processed and returend with Central 1 the previous day through
ORS - Online Return System -
For On Demand Payment - Not Monthly Cheques
BCCCU reports come directly from Central 1 when the daily files are downloaded so we have no insight into the logic. There are similar reports for OD cheques that are also sent to R2W.
HMISJPJK carries out bank reconciliation processing and uses the DREC file to match cheque data from Central 1 to the MIS payment history DB2 tables and updates cashed cheque data.
Mismatched records are reported in report MI92T-01. which is also produced by job JPJK. 
A discovery session with FASB and possibly Treasury would be required to provide more details on the logic",File Summary Due Date,File Summary Due Date,No,MIS,High,FASB
FASB Banking,BCCCU - EXRD (AMP),"Automated Transfer System Detailed Listing
Daily banking- what has been processed and returend with Central 1 the previous day through
ORS - Online Return System -
For On Demand Payment - Not Monthly Cheques
BCCCU reports come directly from Central 1 when the daily files are downloaded so we have no insight into the logic. There are similar reports for OD cheques that are also sent to R2W.
HMISJPJK carries out bank reconciliation processing and uses the DREC file to match cheque data from Central 1 to the MIS payment history DB2 tables and updates cashed cheque data.
Mismatched records are reported in report MI92T-01. which is also produced by job JPJK. 
A discovery session with FASB and possibly Treasury would be required to provide more details on the logic",File Summary Debit Items,File Summary Debit Items,No,MIS,High,FASB
FASB Banking,BCCCU - EXRD (AMP),"Automated Transfer System Detailed Listing
Daily banking- what has been processed and returend with Central 1 the previous day through
ORS - Online Return System -
For On Demand Payment - Not Monthly Cheques
BCCCU reports come directly from Central 1 when the daily files are downloaded so we have no insight into the logic. There are similar reports for OD cheques that are also sent to R2W.
HMISJPJK carries out bank reconciliation processing and uses the DREC file to match cheque data from Central 1 to the MIS payment history DB2 tables and updates cashed cheque data.
Mismatched records are reported in report MI92T-01. which is also produced by job JPJK. 
A discovery session with FASB and possibly Treasury would be required to provide more details on the logic",File Summarty Debit Amout,File Summarty Debit Amout,No,MIS,High,FASB
FASB Banking,BCCCU - EXRD (AMP),"Automated Transfer System Detailed Listing
Daily banking- what has been processed and returend with Central 1 the previous day through
ORS - Online Return System -
For On Demand Payment - Not Monthly Cheques
BCCCU reports come directly from Central 1 when the daily files are downloaded so we have no insight into the logic. There are similar reports for OD cheques that are also sent to R2W.
HMISJPJK carries out bank reconciliation processing and uses the DREC file to match cheque data from Central 1 to the MIS payment history DB2 tables and updates cashed cheque data.
Mismatched records are reported in report MI92T-01. which is also produced by job JPJK. 
A discovery session with FASB and possibly Treasury would be required to provide more details on the logic",File Summary Credit Items,File Summary Credit Items,No,MIS,High,FASB
FASB Banking,BCCCU - EXRD (AMP),"Automated Transfer System Detailed Listing
Daily banking- what has been processed and returend with Central 1 the previous day through
ORS - Online Return System -
For On Demand Payment - Not Monthly Cheques
BCCCU reports come directly from Central 1 when the daily files are downloaded so we have no insight into the logic. There are similar reports for OD cheques that are also sent to R2W.
HMISJPJK carries out bank reconciliation processing and uses the DREC file to match cheque data from Central 1 to the MIS payment history DB2 tables and updates cashed cheque data.
Mismatched records are reported in report MI92T-01. which is also produced by job JPJK. 
A discovery session with FASB and possibly Treasury would be required to provide more details on the logic",File Summary Credit Amt,File Summary Credit Amt,No,MIS,High,FASB
FASB Banking,BCCCU - EXRD (AMP),"Automated Transfer System Detailed Listing
Daily banking- what has been processed and returend with Central 1 the previous day through
ORS - Online Return System -
For On Demand Payment - Not Monthly Cheques
BCCCU reports come directly from Central 1 when the daily files are downloaded so we have no insight into the logic. There are similar reports for OD cheques that are also sent to R2W.
HMISJPJK carries out bank reconciliation processing and uses the DREC file to match cheque data from Central 1 to the MIS payment history DB2 tables and updates cashed cheque data.
Mismatched records are reported in report MI92T-01. which is also produced by job JPJK. 
A discovery session with FASB and possibly Treasury would be required to provide more details on the logic",File Summary Settlement Date,File Summary Settlement Date,No,MIS,High,FASB
FASB Banking,BCCCU - EXRD (AMP),"Automated Transfer System Detailed Listing
Daily banking- what has been processed and returend with Central 1 the previous day through
ORS - Online Return System -
For On Demand Payment - Not Monthly Cheques
BCCCU reports come directly from Central 1 when the daily files are downloaded so we have no insight into the logic. There are similar reports for OD cheques that are also sent to R2W.
HMISJPJK carries out bank reconciliation processing and uses the DREC file to match cheque data from Central 1 to the MIS payment history DB2 tables and updates cashed cheque data.
Mismatched records are reported in report MI92T-01. which is also produced by job JPJK. 
A discovery session with FASB and possibly Treasury would be required to provide more details on the logic",File Summary Net Items,File Summary Net Items,No,MIS,High,FASB
FASB Banking,BCCCU - EXRD (AMP),"Automated Transfer System Detailed Listing
Daily banking- what has been processed and returend with Central 1 the previous day through
ORS - Online Return System -
For On Demand Payment - Not Monthly Cheques
BCCCU reports come directly from Central 1 when the daily files are downloaded so we have no insight into the logic. There are similar reports for OD cheques that are also sent to R2W.
HMISJPJK carries out bank reconciliation processing and uses the DREC file to match cheque data from Central 1 to the MIS payment history DB2 tables and updates cashed cheque data.
Mismatched records are reported in report MI92T-01. which is also produced by job JPJK. 
A discovery session with FASB and possibly Treasury would be required to provide more details on the logic",File Summarty Net Amt,File Summarty Net Amt,No,MIS,High,FASB
FASB Banking,ODP BCCCU/BCCCU Monthly Charges For Canadian Account (AMP),"Bank Statement 
Daily Journal from Central 1 Banking - summary of Debit and Credits",Branch,Branch,No,MIS,High,MIS
FASB Banking,ODP BCCCU/BCCCU Monthly Charges For Canadian Account (AMP),"Bank Statement 
Daily Journal from Central 1 Banking - summary of Debit and Credits",Date,Date,No,MIS,High,MIS/FASB
FASB Banking,ODP BCCCU/BCCCU Monthly Charges For Canadian Account (AMP),"Bank Statement 
Daily Journal from Central 1 Banking - summary of Debit and Credits",Debits,Debit,No,MIS,High,MIS/FASB
FASB Banking,ODP BCCCU/BCCCU Monthly Charges For Canadian Account (AMP),"Bank Statement 
Daily Journal from Central 1 Banking - summary of Debit and Credits",Debits,Debit,No,MIS,High,MIS/FASB
FASB Banking,ODP BCCCU/BCCCU Monthly Charges For Canadian Account (AMP),"Bank Statement 
Daily Journal from Central 1 Banking - summary of Debit and Credits",Credits,Credit,No,MIS,High,MIS/FASB
FASB Banking,ODP BCCCU/BCCCU Monthly Charges For Canadian Account (AMP),"Bank Statement 
Daily Journal from Central 1 Banking - summary of Debit and Credits",Credits,Credit,No,MIS,High,MIS/FASB
FASB Banking,ODP BCCCU/BCCCU Monthly Charges For Canadian Account (AMP),"Bank Statement 
Daily Journal from Central 1 Banking - summary of Debit and Credits",Credits,Credit Balance Forward,No,MIS,High,MIS/FASB
FASB Banking,ODP BCCCU/BCCCU Monthly Charges For Canadian Account (AMP),"Bank Statement 
Daily Journal from Central 1 Banking - summary of Debit and Credits",Balance,Balance,No,MIS,High,MIS/FASB
FASB Banking,ODP BCCCU/BCCCU Monthly Charges For Canadian Account (AMP),"Bank Statement 
Daily Journal from Central 1 Banking - summary of Debit and Credits",Total CH DB,Total CH DB,No,Report,Medium,FASB
FASB Banking,ODP BCCCU/BCCCU Monthly Charges For Canadian Account (AMP),"Bank Statement 
Daily Journal from Central 1 Banking - summary of Debit and Credits",Total CH CR,Total CH CR,No,Report,Medium,FASB
FASB Banking,ODP BCCCU/BCCCU Monthly Charges For Canadian Account (AMP),"Bank Statement 
Daily Journal from Central 1 Banking - summary of Debit and Credits",Banking Previous Balance,Banking Previous Balance,No,MIS,High,MIS/FASB
